"","X.3","X.2","X.1","X","org","start","movein","address","status","area","type","residences","women","men","ownership","members","residents","visitprocess","newMember","decisions","leader","leadergroup","fees","income_sharing","labor_req","member_debt","food_current","food_planned","food_local","meals_shared","meals_restrictions","meals_practices","alcohol","tobacco","religion","education","healthcare","source","lon","lat","geoAddress","no_meal_restrictions","vegan","vegetarian","organic","omnivorous","no_gmo","no_restrictions","raw","paleo","opportunivore","kosher"
"281",281,281,281,281,"Elemental Kindom",2008,"2008","Cerro de la Fuerte Cartago, Cartago,  Costa Rica ","Forming","11 acres","Ecovillage ",2,"50%","50%","The Community",2,"No Info","Visitor Process: Please contact us and state your intentional time of visit and length of stay
","Yes","Decision Making: Voting (majority or super-majority rule)","Identified Leader: No","Leadership Core Group: Yes","Dues, Fees, or Shared Expenses: No","Shared Income: Partial share of income","Required Labor Contribution per Week: 0","Open to members with existing debt: Yes","Up to 25%","No Info","100%","Approximately all dinners","No – people may eat however they wish.","Omnivorous, Local, Organic, GMO Free, Mostly Vegetarian","Alcohol Use: Yes, used seldomly, or ceremoniously.","Tobacco Use: Yes, used seldomly, or ceremoniously.","Common Spiritual Practice(s): Native American, Paganism or Earth Religions, Rainbow Family","Education Style(s): Private Schooling at the Community, Up to each family or individual","Healthcare Options: Up to each family or individual","https://www.ic.org/directory/elemental-kindom/",-83.9161935,9.8638091,NA,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"282",282,282,282,282,"Eliopoli",1997,"2000","Porter Corning Road 247 Port Maitland,  Canada ","Re-forming","111.2 acres","Ecovillage ",0,"50%","50%","Community controlled land trust",2,"Non-member Residents: 3","Visitor Process: If you wish to visit us please contact us by email describing who you are, why are you interested and interesting. We are not interested in eco-nomads. thanks
","Yes","Decision Making: By a board, council, group of elders, or leadership group","Identified Leader: Yes","Leadership Core Group: Yes","Dues, Fees, or Shared Expenses: No","Shared Income: Partial share of income","Required Labor Contribution per Week: 10","Open to members with existing debt: Yes","From 50-75%","100%","Between 26-49%","About once a week","No – people may eat however they wish.","Omnivorous ","Alcohol Use: Yes, used often.","Tobacco Use: Yes, used occasionally.","No Info","Education Style(s): Public Schooling","No Info","https://www.ic.org/directory/eliopoli/",-66.1297292,43.9726762,NA,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"283",283,283,283,283,"Ella Jo Baker Intentional Community Cooperative, Inc.",1999,"2003","2548 University Place N.W Suite D Washington, District of Columbia, 20009 United States ","Established","No Info","Cohousing ",0,"71-80%","11-20%","The entire community membership",25,"Non-member Residents: 12","Visitor Process: We have had students and community organizers who are in town for specific campaigns visit our cooperative.
","Yes","Decision Making: By a board, council, group of elders, or leadership group","Identified Leader: Yes","Leadership Core Group: Yes","Dues, Fees, or Shared Expenses: Yes","Shared Income: None","Required Labor Contribution per Week: 3","Open to members with existing debt: Yes (some debt)","Up to 25%","From 50-75%","Up to 25%","1-3 times per month","No – people may eat however they wish.","Omnivorous, Paleo, Local, Organic, GMO Free, Mostly Vegetarian, Mostly Vegan, Opportunivore, Raw or Mostly Raw, Kosher, Halal, Dairy-Free, Gluten-Free","Alcohol Use: Yes, used occasionally.","Tobacco Use: Yes, used seldomly, or ceremoniously.","Common Spiritual Practice(s): Christian, Buddhist, Jewish, Muslim, Catholic, Quaker, Paganism or Earth Religions, Agnostic, Yoruba","Education Style(s): Up to each family or individual","Healthcare Options: Up to each family or individual","https://www.ic.org/directory/ella-jo-baker-intentional-community-cooperative-inc/",-77.0342152,38.9226755,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"284",284,284,284,284,"Elm Creek Trails",2012,"1993","918 FM 89 Abilene, Texas, 79606 United States ","Forming","240 acres","Ecovillage, Cohousing, Student Housing or Student Co-Op, Spiritual or Religious Community",0,"No Info","No Info","Individual community member(s)",4,"No Info","Visitor Process: Just email
","Yes","Decision Making: By a board, council, group of elders, or leadership group","Identified Leader: Yes","No Info","Dues, Fees, or Shared Expenses: Yes","Shared Income: None","Required Labor Contribution per Week: 0","Open to members with existing debt: Yes","Between 26-49%","From 50-75%","Between 26-49%","1-3 times per month","No Info","Omnivorous ","Alcohol Use: Yes, used occasionally.","Tobacco Use: Yes, used seldomly, or ceremoniously.","No Info","Education Style(s): Home Schooling","No Info","https://www.ic.org/directory/elm-creek-trails/",-99.8072345,32.3278802,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"285",285,285,285,285,"Eloin",1974,"1975","PO Box 446 Ashland, Oregon, 97520 United States ","Established","80 acres","Commune, Ecovillage, Shared Housing, Cohouseholding, or Coliving, Spiritual or Religious Community",58,"61-70%","21-30%","The entire community membership",7,"Non-member Residents: 2","Visitor Process: Please visit our website at www.eloinforest.org 
Write to us at: Eloin, P.O. Box 446, Ashland, OR. 97520.
","Yes","Decision Making: By a board, council, group of elders, or leadership group","Identified Leader: Yes, multiple identified leaders","Leadership Core Group: Yes","Dues, Fees, or Shared Expenses: Yes","Shared Income: All or close to all","Required Labor Contribution per Week: 1","Open to members with existing debt: Yes (some debt)","Between 26-49%","100%","From 50-75%","Approximately all meals","Yes – we all share a common diet.","Organic, GMO Free, Vegan Only, Raw or Mostly Raw, Dairy-Free, Gluten-Free","Alcohol Use: No, this community does not permit alcohol use.","Tobacco Use: No, this community does not permit tobacco use.","Common Spiritual Practice(s): Ecumenical (accepts all religions or spiritual practices), Eclectic (integrates multiple religious or spiritual beliefs)","Education Style(s): Home Schooling","Healthcare Options: Up to each family or individual","https://www.ic.org/directory/eloin/",NA,NA,NA,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"286",286,286,286,286,"Elsworth-Bowie Cooperative",1971,"1971","711 W Grand River Ave East Lansing, Michigan, 48823-4207 United States ","Established","No Info","Student Housing or Student Co-Op",22,"51-60%","41-49%","The entire community membership",21,"No Info","Visitor Process: Apply online at www.msu.coop, then email Elsworth’s Membership Officer for a tour at www.msu.coop/elsworth/
","Yes","Decision Making: Voting (majority or super-majority rule)","Identified Leader: Yes, multiple identified leaders","Leadership Core Group: Yes","Dues, Fees, or Shared Expenses: Yes","Shared Income: Partial share of income","Required Labor Contribution per Week: 2","No Info","0%, or close to 0%","No Info","No Info","2-5 times per week","No Info","Omnivorous ","Alcohol Use: Yes, used occasionally.","Tobacco Use: Yes, used occasionally.","No Info","Education Style(s): Public Schooling","No Info","https://www.ic.org/directory/elsworth-cooperative/",-84.492645,42.7373769,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"287",287,287,287,287,"Emerald Earth Sanctuary",1989,"1994","PO Box 764 Boonville, California, 95415-0764 United States ","Established","189 acres","Ecovillage, Cohousing, Spiritual or Religious Community",42,"61-70%","31-40%","Another form of Non-profit",3,"Non-member Residents: 2","Visitor Process: For more information or to arrange a visit, please send an email describing your background and interests and the reason for your interest in visiting. Ideally, give us a couple of weeks notice so we can find a time that works for us and you. When visiting for the first time, consider coming to a work party (see our website for dates).
","Yes","Decision Making: Consensus (everyone agrees)","Identified Leader: No","Leadership Core Group: No","Dues, Fees, or Shared Expenses: Yes","Shared Income: None","Required Labor Contribution per Week: 20","No Info","Between 26-49%","From 50-75%","Almost All, around 90%","Approximately all dinners","No – people may eat however they wish.","Omnivorous, Local, Organic, GMO Free, Opportunivore ","Alcohol Use: Yes, used occasionally.","Tobacco Use: Yes, used seldomly, or ceremoniously.","Common Spiritual Practice(s): Paganism or Earth Religions","Education Style(s): Home Schooling, Private School off the property","Healthcare Options: Up to each family or individual","https://www.ic.org/directory/emerald-earth/",-123.3666472,39.0081089,NA,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
"288",288,288,288,288,"Emerald Grove Intentional Community",2012,"No Info","PO Box 895 Eugene, Oregon, 97440 United States ","Forming","No Info","Other",0,"No Info","No Info","No Info",NA,"No Info","Visitor Process: Email or phone; we’ll give you more info and answer any questions. Although not yet landed, we welcome meeting inquirers in person. Two meetings a month open to visitors; or we’ll accommodate your schedule.
","Yes","Decision Making: Other","Identified Leader: No","Leadership Core Group: Yes","Dues, Fees, or Shared Expenses: Yes","Shared Income: Partial share of income","Required Labor Contribution per Week: 999","Open to members with existing debt: Yes","No Info","From 50-75%","No Info","About once a week","Not at all important – people may eat however they individually choose.","Omnivorous ","Alcohol Use: Yes, used seldomly, or ceremoniously.","Tobacco Use: Yes, used seldomly, or ceremoniously.","Common Spiritual Practice(s): Ecumenical (accepts all religions or spiritual practices)","Education Style(s): Up to each individual","Healthcare Options: Up to each individual","https://www.ic.org/directory/emerald-grove-intentional-community/",-123.09,44.05,NA,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"289",289,289,289,289,"Emerson Commons Cohousing",2014,"2017","1317 Parkview Dr Crozet, Virginia, 22932 United States ","Forming","6.3 acres","Cohousing ",0,"No Info","No Info","Individual community member(s)",12,"No Info","Visitor Process: Please contact us at [email protected]
","Yes","Decision Making: Modified Consensus (everyone agrees, with some exceptions or fallbacks.)","Identified Leader: No","Leadership Core Group: No","Dues, Fees, or Shared Expenses: Yes","Shared Income: None","Required Labor Contribution per Week: 2","No Info","0%, or close to 0%","Up to 25%","Up to 25%","No Info","No Info","No Info","No Info","No Info","No Info","Education Style(s): Home Schooling, Private School off the property, Public Schooling","No Info","https://www.ic.org/directory/sheeflee-cohousing/",-78.683953,38.071981,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"290",290,290,290,290,"Enriched Earth Ecovillage",2014,"2020","Arney Bridge Arney, BT92 2BZ Ireland ","Forming","111 acres","Ecovillage, Cohousing, Shared Housing, Cohouseholding, or Coliving ",0,"No Info","No Info","The entire community membership",25,"No Info","No Info","Yes","Decision Making: By a board, council, group of elders, or leadership group","Identified Leader: Yes, multiple identified leaders","Leadership Core Group: Yes","Dues, Fees, or Shared Expenses: Yes","Shared Income: None","Required Labor Contribution per Week: 0","Open to members with existing debt: Yes","No Info","100%","No Info","About once a week","No – people may eat however they wish.","Omnivorous, Local, Organic, Vegetarian Only, Mostly Vegetarian, Vegan Only, Mostly Vegan","Alcohol Use: Yes, used occasionally.","Tobacco Use: Yes, used occasionally.","Common Spiritual Practice(s): Ecumenical (accepts all religions or spiritual practices), Eclectic (integrates multiple religious or spiritual beliefs)","Education Style(s): Home Schooling, Private Schooling at the Community, Public Schooling, Up to each family or individual","Healthcare Options: Up to each family or individual","https://www.ic.org/directory/the-cauldron-community/",-7.6843569,54.2851318,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"291",291,291,291,291,"Enright Ridge Urban Eco-village",2004,"2004","601 Enright Ave. Cincinnati, Ohio, 45205 United States ","Established","No Info","Ecovillage ",63,"No Info","No Info","No Info",100,"Non-member Residents: 150","Visitor Process: Contact Jim Schenk at [email protected]
","Yes","Decision Making: Consensus (everyone agrees)","Identified Leader: No","Leadership Core Group: Yes","Dues, Fees, or Shared Expenses: No","Shared Income: None","No Info","Open to members with existing debt: Yes","No Info","No Info","No Info","1-3 times per month","No Info","Omnivorous ","Alcohol Use: Yes, used occasionally.","Tobacco Use: Yes, used seldomly, or ceremoniously.","No Info","No Info","No Info","https://www.ic.org/directory/enright-ridge-urban-eco-village/",-84.5745629,39.1009289,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"292",292,292,292,292,"Esperanza de Sol de Finca Amanecer",2012,"3","150 s Del Puente de Londres Londres de Quepos, Puntarenas, 6350 Costa Rica ","Forming","No Info","Ecovillage, Shared Housing, Cohouseholding, or Coliving ",32,"41-49%","21-30%","The entire community membership",3,"No Info","Visitor Process: Please send us an email or skype: askelena1
","Yes","Decision Making: Modified Consensus (everyone agrees, with some exceptions or fallbacks.)","Identified Leader: No","Leadership Core Group: Yes","Dues, Fees, or Shared Expenses: Yes","Shared Income: None","Required Labor Contribution per Week: 5","Open to members with existing debt: Yes (some debt)","Up to 25%","Up to 25%","Up to 25%","1-3 times per month","No – people may eat however they wish.","Omnivorous, Local, Organic, Mostly Vegetarian, Gluten-Free","Alcohol Use: Yes, used occasionally.","Tobacco Use: Yes, used seldomly, or ceremoniously.","Common Spiritual Practice(s): Eclectic (integrates multiple religious or spiritual beliefs)","Education Style(s): Home Schooling, Public Schooling","Healthcare Options: Up to each family or individual","https://www.ic.org/directory/esperanza-de-sol-de-finca-amanecer/",-84.0685886,9.461332,NA,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"293",293,293,293,293,"Eureka Institute",1993,"1993","6162 Eureka Rd Sagle, Idaho, 83860 United States ","Forming","42 acres","Ecovillage, Cohousing ",32,"No Info","No Info","Individual community member(s)",3,"Non-member Residents: 6","Visitor Process: Please contact us through our website
","Yes","Decision Making: Consensus (everyone agrees)","Identified Leader: Yes","Leadership Core Group: Yes","Dues, Fees, or Shared Expenses: Yes","Shared Income: Partial share of income","No Info","Open to members with existing debt: Yes","No Info","No Info","No Info","2-5 times per week","No – people may eat however they wish.","Mostly Vegetarian","Alcohol Use: Yes, used occasionally.","Tobacco Use: Yes, used seldomly, or ceremoniously.","No Info","Education Style(s): Private School off the property","No Info","https://www.ic.org/directory/eureka-institute/",-116.3989968,48.2302598,NA,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"294",294,294,294,294,"Evergreen Acres",2016,"2018","50 E Carefree Ct Grapeview, Washington, 98546 United States ","Forming","40 acres","Ecovillage ",51,"71-80%","21-30%","Individual community member(s)",2,"No Info","No Info","Yes","Decision Making: Consensus (everyone agrees)","Identified Leader: Yes","Leadership Core Group: No","Dues, Fees, or Shared Expenses: No","Shared Income: None","No Info","Open to members with existing debt: Yes (some debt)","No Info","No Info","No Info","About once a week","Somewhat – there are some dietary restrictions or customs.","Omnivorous, Local, Organic, GMO Free ","Alcohol Use: Yes, used seldomly, or ceremoniously.","Tobacco Use: No, this community does not permit tobacco use.","Common Spiritual Practice(s): Pantheist","Education Style(s): Home Schooling, Private Schooling at the Community","Healthcare Options: Up to each family or individual","https://www.ic.org/directory/evergreen-acres/",-123.005248,47.298965,NA,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"295",295,295,295,295,"Everin Ecovillage",2017,"2018","Unknown Oregon, Oregon,  United States ","Forming","No Info","Ecovillage, Cohousing, Spiritual or Religious Community",0,"100%","0%","Individual community member(s)",2,"No Info","No Info","Yes","Decision Making: By a board, council, group of elders, or leadership group","Identified Leader: Yes","Leadership Core Group: Yes","Dues, Fees, or Shared Expenses: No","Shared Income: None","Required Labor Contribution per Week: 5","Open to members with existing debt: Yes (some debt)","0%, or close to 0%","Almost All, around 90%","0%, or close to 0%","1-3 times per month","No Info","No Info","Alcohol Use: Yes, used seldomly, or ceremoniously.","Tobacco Use: Yes, used seldomly, or ceremoniously.","Common Spiritual Practice(s): Eclectic (integrates multiple religious or spiritual beliefs), Paganism or Earth Religions, Atheist, Any spiritual practice that allows toleration for other paths","Education Style(s): Home Schooling, Private Schooling at the Community, Public Schooling, Up to each family or individual","Healthcare Options: Up to each family or individual","https://www.ic.org/directory/everin-ecovillage/",-89.3872527,41.94456,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"296",296,296,296,296,"Fairy Forest",2013,"2017","123 Off Main Drag Gardner, Colorado,  United States ","Forming","80 acres","Commune, Ecovillage, Cohousing, Shared Housing, Cohouseholding, or Coliving, Spiritual or Religious Community, Unspecified, or Other, Transition Town or Eco-Neighborhood, Traditional or Indigenous Community",18,"61-70%","31-40%","The entire community membership",3,"Non-member Residents: 0","Visitor Process: We invite you to come practice meditation, celebrate life, experience the joy of love and freedom, learn and grow from one another and be apart of humanity’s next step in evolution, and feel inextricably interconnected to all that is. This is a peaceful retreat for creative people that are looking for inspiration. Bring your instruments and leave your life behind, for as long as you like. Learn and share your natural-building techniques and build a “hobbit” or “earthen” house in a hill. Maintain and create new organic and non-GMO food forests food, and share perma-culture and ideas.
","Yes","Decision Making: Sociocracy","Identified Leader: No","Leadership Core Group: No","Dues, Fees, or Shared Expenses: No","Shared Income: None","No Info","Open to members with existing debt: Yes","0%, or close to 0%","100%","Between 26-49%","Approximately all dinners","No – people may eat however they wish.","Omnivorous, Paleo, Local, Organic, GMO Free, Vegetarian Only, Mostly Vegetarian, Vegan Only, Mostly Vegan, Opportunivore, Raw or Mostly Raw, Kosher, Dairy-Free, Gluten-Free","Alcohol Use: Yes, used seldomly, or ceremoniously.","Tobacco Use: Yes, used seldomly, or ceremoniously.","Common Spiritual Practice(s): Ecumenical (accepts all religions or spiritual practices), All faiths welcomed.","Education Style(s): Home Schooling, Private Schooling at the Community, Private School off the property, Public Schooling, Up to each family or individual","Healthcare Options: Up to each family or individual","https://www.ic.org/directory/creative-sanctuary-and-freedom-farm/",-104.8295705,38.7976411,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"297",297,297,297,297,"Falconblanco",1975,"1985","lugar venta de’s forn blanc 11 San Lorenzo/Ibiza – Islas Baleares, ibiza, E-07812 Spain ","Established","6 acres","Unspecified, or Other",18,"50%","50%","Other",2,"No Info","Visitor Process: Read our website carefully and then send an email telling about yourself, your intentions, why you want to come, tell us your age, what you have done until now, what you would like to do. What do you know to do. Tell us about your habits and your problems, are you interested in meditation? What are you doing to further your personal learning, growing and healing process?
","Yes","Decision Making: By an individual community leader","Identified Leader: Yes","Leadership Core Group: Yes","Dues, Fees, or Shared Expenses: No","Shared Income: None","Required Labor Contribution per Week: 20","Open to members with existing debt: No","0%, or close to 0%","From 50-75%","From 50-75%","2-5 times per week","No – people may eat however they wish.","Omnivorous, Paleo, Local, Organic, GMO Free, Vegetarian Only, Mostly Vegetarian","Alcohol Use: Yes, used seldomly, or ceremoniously.","Tobacco Use: No, this community does not permit tobacco use.","No Info","No Info","Healthcare Options: Up to each family or individual","https://www.ic.org/directory/falconblanco/",1.4821172,39.0290012,NA,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
"298",298,298,298,298,"Familia Feliz (ESP1)",2010,"2012","Las Parras,19 Cervera del Maestre, Castellon, 12578 Spain ","Established","8 hectares","Ecovillage, Shared Housing, Cohouseholding, or Coliving ",62,"71-80%","21-30%","Individual community member(s)",5,"Non-member Residents: 1","Visitor Process: Chose the country and apply for a visit via www.familiafeliz.eu.
","Yes","Decision Making: Consensus (everyone agrees)","Identified Leader: No","Leadership Core Group: No","Dues, Fees, or Shared Expenses: No","Shared Income: Partial share of income","No Info","Open to members with existing debt: Yes","Up to 25%","From 50-75%","From 50-75%","Approximately all meals","No – people may eat however they wish.","Local, Organic, GMO Free, Mostly Vegetarian, Mostly Vegan","Alcohol Use: Yes, used occasionally.","Tobacco Use: Yes, used seldomly, or ceremoniously.","Common Spiritual Practice(s): Not a particularly spiritual or religious Community","Education Style(s): Public Schooling, Up to each family or individual","Healthcare Options: Up to each family or individual","https://www.ic.org/directory/familiafeliz-esp1/",0.2751447,40.4542539,NA,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"299",299,299,299,299,"Familia Feliz (GER1)",2010,"2012","Gerressener Str. 21 Windeck, North-Rhine-Westfalia, 51570 Germany ","Established","1.8 hectares","Ecovillage, Shared Housing, Cohouseholding, or Coliving ",51,"71-80%","21-30%","Individual community member(s)",4,"No Info","Visitor Process: Choose the country and apply for a visit via www.familiafeliz.eu.
","Yes","Decision Making: Consensus (everyone agrees)","Identified Leader: No","Leadership Core Group: No","Dues, Fees, or Shared Expenses: No","Shared Income: Partial share of income","No Info","Open to members with existing debt: Yes","Up to 25%","Between 26-49%","From 50-75%","Approximately all meals","No – people may eat however they wish.","Omnivorous, Local, Organic, GMO Free, Mostly Vegetarian","Alcohol Use: Yes, used occasionally.","Tobacco Use: Yes, used seldomly, or ceremoniously.","Common Spiritual Practice(s): Not a particularly spiritual or religious Community","Education Style(s): Private School off the property, Public Schooling, Up to each family or individual","Healthcare Options: Up to each family or individual","https://www.ic.org/directory/familia-feliz-ger1/",7.5005225,50.7844519,NA,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"300",300,300,300,300,"farmvilleinreallife",2016,"2016","Box 151 Rama, Saskatchewan, S0A 3H0 Canada ","Forming","42 acres","Shared Housing, Cohouseholding, or Coliving ",2,"No Info","100%","Individual community member(s)",2,"No Info","Visitor Process: email
","Yes","Decision Making: Consensus (everyone agrees)","Identified Leader: Yes","No Info","Dues, Fees, or Shared Expenses: Yes","Shared Income: All or close to all","Required Labor Contribution per Week: 30","Open to members with existing debt: Yes","Between 26-49%","Almost All, around 90%","From 50-75%","Approximately all meals","Somewhat – there are some dietary restrictions or customs.","Omnivorous ","Alcohol Use: Yes, used occasionally.","Tobacco Use: Yes, used seldomly, or ceremoniously.","Common Spiritual Practice(s): Not a particularly spiritual or religious community","Education Style(s): Home Schooling","Healthcare Options: Up to each family or individual","https://www.ic.org/directory/farmvilleinreallife/",-102.998585,51.7576679,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"301",301,301,301,301,"Fiji Organic Village",2005,"2006","contact us by email for US postal address near Vuaki, Yasawa Islands Group, western Fiji, Blue Lagoon, Yasawa Islands,  Fiji ","Established","68 acres","Ecovillage ",55,"31-40%","51-60%","Individual community member(s)",12,"Non-member Residents: 3","Visitor Process: Please email us to obtain information. Visitors are unable to come while we re build after hurricanes and reform our structure. You fly into Nadi International Airport and a daily catamaran goes straight to our island from Port Denarau (very close to Nadi) or a local village boat from Lautoka (Sugar City). Come as a guest or voluntourist first; you must contribute financially for fuel, food, and other basic supplies (the food is cooked, and served)
Lodging is included and is in a traditional one room cottage right on the beach or in a large tent (cottages may be saved for community members). Lodging is very limited so please contact us in advance for visits.
","Waiting List","Decision Making: By a board, council, group of elders, or leadership group","Identified Leader: Yes","Leadership Core Group: Yes","Dues, Fees, or Shared Expenses: Yes","Shared Income: Partial share of income","Required Labor Contribution per Week: 0","Open to members with existing debt: Yes","From 50-75%","Almost All, around 90%","Almost All, around 90%","Approximately all meals","Somewhat – there are some dietary restrictions or customs.","Omnivorous, Paleo, Local, Organic, Mostly Vegetarian","Alcohol Use: Yes, used seldomly, or ceremoniously.","Tobacco Use: Yes, used seldomly, or ceremoniously.","Common Spiritual Practice(s): Ecumenical (accepts all religions or spiritual practices), Christian, Buddhist, Catholic, Native American, Paganism or Earth Religions","Education Style(s): Home Schooling, Public Schooling","Healthcare Options: Up to each family or individual","https://www.ic.org/directory/flying-fish-organic-village/",177.2505928,-17.0249832,NA,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"302",302,302,302,302,"Finca Fruición: Permaculture Land Cooperative",2009,"2007","Apartado 70-8000 Pérez Zeledón San Isidro del General, San Jose,  Costa Rica ","Forming","21.5 acres","Ecovillage, Cohousing ",55,"1-10%","91-99%","The entire community membership",3,"Non-member Residents: 3","Visitor Process: To visit the community, please check out our website under the Fruition Center tab. Read through the Community Living Agreements, decide in which way you would like to visit, and fill out the appropriate application. www.thefruitioncenter.com
","Yes","Decision Making: Sociocracy","Identified Leader: No","Leadership Core Group: Yes","Dues, Fees, or Shared Expenses: Yes","Shared Income: Partial share of income","No Info","Open to members with existing debt: Yes","Up to 25%","Almost All, around 90%","Almost All, around 90%","2-5 times per week","No – people may eat however they wish.","Omnivorous, Local, Organic, GMO Free, Mostly Vegetarian, Mostly Vegan, Opportunivore, Raw or Mostly Raw, Kosher, Halal, Dairy-Free, Gluten-Free, we are able to accomodate most dietary preferences","Alcohol Use: Yes, used seldomly, or ceremoniously.","Tobacco Use: Yes, used seldomly, or ceremoniously.","Common Spiritual Practice(s): Ecumenical (accepts all religions or spiritual practices), Eclectic (integrates multiple religious or spiritual beliefs), Native American","Education Style(s): Home Schooling, Public Schooling","Healthcare Options: Up to each family or individual","https://www.ic.org/directory/finca-fruicion-permaculture-land-cooperative/",-76.624692,7.882761,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
"303",303,303,303,303,"Finca Morpho",NA,"1","14km Sur de Bomba de Osa en la calla de Matapalo con puerton murado Puerto Jimenez, 60702 Costa Rica ","Established","4.2 hectares","Commune, Ecovillage, Cohousing, Shared Housing, Cohouseholding, or Coliving ",55,"50%","50%","Individual community member(s)",5,"No Info","Visitor Process: Please contact us at [email protected] to setup an appointment to visit the community.
","Yes","Decision Making: Consensus (everyone agrees)","Identified Leader: No","Leadership Core Group: Yes","Dues, Fees, or Shared Expenses: No","Shared Income: Partial share of income","Required Labor Contribution per Week: 25","No Info","From 50-75%","100%","Almost All, around 90%","Approximately all dinners","No – people may eat however they wish.","Omnivorous, Paleo, Local, Organic, GMO Free, Vegetarian Only, Mostly Vegetarian, Vegan Only, Mostly Vegan, Opportunivore, Raw or Mostly Raw, Kosher, Halal, Dairy-Free, Gluten-Free","Alcohol Use: Yes, used occasionally.","Tobacco Use: Yes, used occasionally.","Common Spiritual Practice(s): Ecumenical (accepts all religions or spiritual practices), Eclectic (integrates multiple religious or spiritual beliefs), Wiccan, Native American, Paganism or Earth Religions, Mixed Eastern Philosophy or Practice, Hare Krishna, Rainbow Family, Atheist, Agnostic, Humanist","Education Style(s): Home Schooling, Private Schooling at the Community, Private School off the property, Public Schooling, Up to each family or individual","Healthcare Options: Up to each family or individual","https://www.ic.org/directory/finca-morpho/",-83.278821,8.435053,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"304",304,304,304,304,"Finca Nuevo Mundo Verde",2010,"2010","Via Nuevo Mundo Tzununa, Solola,  Guatemala ","Re-forming","9.5 acres","Commune, Ecovillage ",42,"50%","50%","The Community",4,"Non-member Residents: 3","Visitor Process: We welcome visitors and we encourage participation in our work and activities. We prefer long term volunteers and apprentices over short term tourists.
","Yes","Decision Making: Consensus (everyone agrees)","Identified Leader: No","Leadership Core Group: Yes","Dues, Fees, or Shared Expenses: No","Shared Income: Partial share of income","Required Labor Contribution per Week: 0","No Info","Up to 25%","From 50-75%","No Info","Approximately all dinners","No Info","Organic, GMO Free, Mostly Vegetarian, Raw or Mostly Raw","Alcohol Use: Yes, used seldomly, or ceremoniously.","Tobacco Use: Yes, used seldomly, or ceremoniously.","Common Spiritual Practice(s): Eclectic (integrates multiple religious or spiritual beliefs), Christian, Buddhist, Jewish, Muslim, Hindu, Wiccan, Protestant, Lutheran, Catholic, Emissaries, Quaker, Sufi, Native American, Hutterian Brethren, Unitarian Universalist, Paganism or Earth Religions, Mixed Eastern Philosophy or Practice, Hare Krishna, Rainbow Family, Ananda Community, Bahai, Atheist, Agnostic, Humanist","Education Style(s): Home Schooling, Private School off the property","No Info","https://www.ic.org/directory/124679/",-91.2427836,14.7305494,NA,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
